web-scraper-order,web-scraper-start-url,Product_Name,Product_Price,Product_Sold
"1713627386-1","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Switch Tombol On Off Kaki 4 Asus Oppo Vivo Xiaomi Swit Button Kecil Pins Power Volume","Rp1.650","10RB+ Terjual"
"1713627386-2","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Konektor Cas Aja X680 Original Hot 9 10 Play Infinix Connector Charger","Rp2.600","10RB+ Terjual"
"1713627386-3","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Konektor Cas BB Z3 Redmi 3 3s Original Connector Ces Charger A850 S920","Rp650","10RB+ Terjual"
"1713627386-4","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","IC CPU SM8150-503 AC SM 8150 103-AC X3 Pro Mi9 Mi9T Pro Blackshark 2 Original New Tested SM8150 503-AC","Rp267.500","2,6RB Terjual"
"1713627386-5","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Konektor Cas Aja X657 Infinix X657B Smart 5 Connector Usb Ces Charger Only","Rp2.600","10RB+ Terjual"
"1713627386-6","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Baut isi 200 Pcs Kualitas Oke","Rp6.500","2,4RB Terjual"
"1713627386-7","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Connector Cas Saja Samsung A20 A30 A50 A12 A21S M20 Konektor Charger Port Usb Ces","Rp3.300","10RB+ Terjual"
"1713627386-8","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Konektor Cas Connector Charger Smartfren Andromax Universal Ces","Rp650","10RB+ Terjual"
"1713627386-9","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Konektor Cas Aja A01 Samsung Redmi 9A Original Connector Charger Ces","Rp2.600","10RB+ Terjual"
"1713627386-10","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Konektor Lcd Samsung A12 A13 A125F A02 A52 Socket Connector Di Mesin Soket Layar A526B","Rp16.600","3,3RB Terjual"
"1713627386-11","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Konektor Cas A5S A15 A15S A1K C11 Oppo Connector Charger Ces Only Port Usb","Rp2.600","10RB+ Terjual"
"1713627386-12","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Konektor Cas Saja Redmi Note 5A Xiaomi Connector Charger Ces Only Port Usb","Rp1.200","10RB+ Terjual"
"1713627386-13","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","IC Rf WTR2965 Original 100% Xiaomi Redmi 3S 4A Note 5A 5 Plus Vivo  Joss WTR Sinyal 2965","Rp7.460Rp11.700-36%","10RB+ Terjual"
"1713627386-14","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Konektor Cas Saja Redmi 5A 6A Xiaomi Connector Charger Ces Only Port Usb","Rp1.200","10RB+ Terjual"
"1713627386-15","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","IC PA VC7643 Original New Tested Rf VC 7643 62 Redmi Note 9","Rp34.400Rp46.600-26%","4,7RB Terjual"
"1713627386-16","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Kaca Kamera Poco X3 Original Lensa Camera Belakang Lens","Rp11.600","322 Terjual"
"1713627386-17","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Backdoor Redmi Note 10 4G Housing Tutup Casing Belakang Xiaomi","Rp45.500","8 Terjual"
"1713627386-18","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Flexible Board Mi10T Xiaomi Mi 10T Pro Flex Sub Fleksibel MainBoard","Rp46.600","135 Terjual"
"1713627386-19","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Kaca Kamera Redmi Note 10 PRO 4G Original Lensa Camera Belakang Lens","Rp12.600","1,4RB Terjual"
"1713627386-20","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Kaca Kamera A02s Samsung Original Lensa Camera Belakang Lens","Rp11.200","237 Terjual"
"1713627386-21","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Kaca Lensa Kamera Redmi 10 Original Lens Camera Lense","Rp13.300","2,6RB Terjual"
"1713627386-22","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","IC Power Supply Network Poco M3 9T QET4101 Original New Tested 4101 APT QET U115 Booster Redmi","Rp23.300","6,9RB Terjual"
"1713627386-23","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Konektor Cas J100 J200 J500 Connector Charger Original Ces","Rp1.600","10RB+ Terjual"
"1713627386-24","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Kaca Lensa Kamera Redmi Note 8 Original Camera Xiaomi Lens Belakang Lense","Rp10.640Rp11.200-5%","4,5RB Terjual"
"1713627386-25","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Konektor Cas Aja A10S Samsung Original Connector Charger Ces","Rp2.600","10RB+ Terjual"
"1713627386-26","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Switch On Off Small J2 Prime Samsung Original New Button Power Volume Swit","Rp2.600","10RB+ Terjual"
"1713627386-27","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","IC Power Pmi632-902 Redmi Note 8 Samsung A20s Original New Tested Pmi632 902-00","Rp36.600","3,5RB Terjual"
"1713627386-28","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Konektor Cas Advan E1C Connector Charger Port Usb Ces","Rp750","10RB+ Terjual"
